,date,MaxTemp_x,MinTemp_x,work_x,MaxTemp_y,MinTemp_y,work_y,MaxTemp_x,MinTemp_x,work_x,MaxTemp_y,MinTemp_y,work_y,MaxTemp_x,MinTemp_x,work_x,MaxTemp_y,MinTemp_y,work_y,MaxTemp_x,MinTemp_x,work_x,MaxTemp_y,MinTemp_y,work_y,MaxTemp_x,MinTemp_x,work_x,MaxTemp_y,MinTemp_y,work_y,MaxTemp_x,MinTemp_x,work_x,MaxTemp_y,MinTemp_y,work_y,MaxTemp_x,MinTemp_x,work_x,MaxTemp_y,MinTemp_y,work_y,MaxTemp,MinTemp,work
0,2021-01-01,19,15,0,19,15,0,15,7,0,19,15,0,15,7,0,15,7,0,13,13,0,13,13,0,13,13,0,13,13,0,19,15,0,19,15,0,15,7,0,15,7,0,15,7,0
1,2021-01-02,21,17,0,21,17,0,17,7,0,21,17,0,17,7,0,17,7,0,16,13,0,16,13,0,16,13,0,16,13,0,21,17,0,21,17,0,17,7,0,17,7,0,17,7,0
2,2021-01-03,23,18,0,23,18,0,18,10,0,23,18,0,18,10,0,18,10,0,19,17,0,19,17,0,19,17,0,19,17,0,23,18,0,23,18,0,18,10,0,18,10,0,18,10,0
3,2021-01-04,24,19,1,24,19,1,19,11,1,24,19,1,19,11,1,19,11,1,20,15,1,20,15,1,20,15,1,20,15,1,24,19,1,24,19,1,19,11,1,19,11,1,19,11,1
4,2021-01-05,22,18,1,22,18,1,17,10,1,22,18,1,17,10,1,17,10,1,17,14,1,17,14,1,17,14,1,17,14,1,22,18,1,22,18,1,17,10,1,17,10,1,17,10,1
5,2021-01-06,21,17,1,21,17,1,16,7,1,21,17,1,16,7,1,16,7,1,16,12,1,16,12,1,16,12,1,16,12,1,21,17,1,21,17,1,16,7,1,16,7,1,16,7,1
6,2021-01-07,19,12,1,19,12,1,13,5,1,19,12,1,13,5,1,13,5,1,12,6,1,12,6,1,12,6,1,12,6,1,19,12,1,19,12,1,13,5,1,13,5,1,13,5,1
7,2021-01-08,16,12,1,16,12,1,9,5,1,16,12,1,9,5,1,9,5,1,7,7,1,7,7,1,7,7,1,7,7,1,16,12,1,16,12,1,9,5,1,9,5,1,9,5,1
8,2021-01-09,17,13,0,17,13,0,10,5,0,17,13,0,10,5,0,10,5,0,8,8,0,8,8,0,8,8,0,8,8,0,17,13,0,17,13,0,10,5,0,10,5,0,10,5,0
9,2021-01-10,19,15,0,19,15,0,13,7,0,19,15,0,13,7,0,13,7,0,14,12,0,14,12,0,14,12,0,14,12,0,19,15,0,19,15,0,13,7,0,13,7,0,13,7,0
10,2021-01-11,19,14,1,19,14,1,11,7,1,19,14,1,11,7,1,11,7,1,13,9,1,13,9,1,13,9,1,13,9,1,19,14,1,19,14,1,11,7,1,11,7,1,11,7,1
11,2021-01-12,18,13,1,18,13,1,11,5,1,18,13,1,11,5,1,11,5,1,12,8,1,12,8,1,12,8,1,12,8,1,18,13,1,18,13,1,11,5,1,11,5,1,11,5,1
12,2021-01-13,20,15,1,20,15,1,15,7,1,20,15,1,15,7,1,15,7,1,17,12,1,17,12,1,17,12,1,17,12,1,20,15,1,20,15,1,15,7,1,15,7,1,15,7,1
